sadarajar	adjektiva
deres	adjektiva
dewasa	adjektiva
sawawa	adjektiva
saeutik	adjektiva
sakedik	adjektiva
dinamis	adjektiva
tiis	adjektiva
tiris	adjektiva
katiisan	adjektiva
katirisan	adjektiva
dobel	adjektiva
rangkep dua	adjektiva
landung	adjektiva
ngoyondon	adjektiva
resep pisan	adjektiva
beuki	adjektiva
sedih	adjektiva
susah	adjektiva
tolol	adjektiva
doraka	adjektiva
durjana	adjektiva
jelema jahat	adjektiva
gelo	adjektiva
edan	adjektiva
kaedanan	adjektiva
egois	adjektiva
hawek	adjektiva
tilas	adjektiva
urut	adjektiva
ekstrim	adjektiva
hade	adjektiva
endah	adjektiva
hipu	adjektiva
genah	adjektiva
sangeunahna	adjektiva
encer	adjektiva
hampang	adjektiva
pageuh	adjektiva
raket	adjektiva
mageuhkeun	adjektiva
keukeuh	adjektiva
panatik	adjektiva
teu langgeng	adjektiva
pormal	adjektiva
ribut	adjektiva
kuat	adjektiva
rosa	adjektiva
riwuh	adjektiva
paciweuh	adjektiva
tetela	adjektiva
eces	adjektiva
jelas	adjektiva
gampang	adjektiva
babari	adjektiva
gampang pisan	adjektiva
babari pisan	adjektiva
gangas	adjektiva
kejem	adjektiva
aneh	adjektiva
gangsal	adjektiva
gagah	adjektiva
genting	adjektiva
poek	adjektiva
resep	adjektiva
gembel	adjektiva
gembil	adjektiva
kempes	adjektiva
gendut	adjektiva
kambuy	adjektiva
gembul	adjektiva
rewog	adjektiva
bear	adjektiva
hurung mancur	adjektiva
ngadegdeg	adjektiva
ngageter	adjektiva
lintuh	adjektiva
guruh	adjektiva
ngaguruh	adjektiva
jangkep	adjektiva
lengkep	adjektiva
neregteg	adjektiva
terus-terusan	adjektiva
eureun	adjektiva
gelo	adjektiva
ngagendutan	adjektiva
lengkeh	adjektiva
hareudang	adjektiva
panas	adjektiva
banyeungyang	adjektiva
ngarumbay	adjektiva
napsu	adjektiva
gering	adjektiva
teu damang	adjektiva
gorowong	adjektiva
garing	adjektiva
teu subur	adjektiva
getir	adjektiva
rajin	adjektiva
ngabirigidig	adjektiva
edan	adjektiva
gimbal	adjektiva
seneng	adjektiva
global	adjektiva
sagemblangna	adjektiva
goblog	adjektiva
keuheul	adjektiva
goong	adjektiva
rusuh	adjektiva
tutung	adjektiva
oyag	adjektiva
grogi	adjektiva
rampang-reumpeung	adjektiva
goncang	adjektiva
guligah	adjektiva
gundul	adjektiva
botak	adjektiva
pelem	adjektiva
guyub	adjektiva
halal 	adjektiva
lemes	adjektiva
hambar	adjektiva
gabug	adjektiva
kosong	adjektiva
haneut	adjektiva
hangit	adjektiva
haram	adjektiva
saluyu	adjektiva
surup 	adjektiva
seungit	adjektiva
haus	adjektiva
hebat	adjektiva
rame	adjektiva
irit	adjektiva
gemi	adjektiva
rikrik	adjektiva
sepi	adjektiva
tiiseun	adjektiva
heran	adjektiva
kaget	adjektiva
helok	adjektiva
rupa-rupa	adjektiva
bersih	adjektiva
sehat	adjektiva
hina	adjektiva
hormat	adjektiva
ajen	adjektiva
dipihormat	adjektiva
karunya	adjektiva
watir	adjektiva
hampir sarua	adjektiva
persis	adjektiva
galing	adjektiva
ihlas	adjektiva
rido	adjektiva
imbang	adjektiva
saimbang	adjektiva
endah	adjektiva
insap	adjektiva
sadar	adjektiva
eling	adjektiva
jabrig	adjektiva
jahanam	adjektiva
jahat	adjektiva
jail	adjektiva
jalang	adjektiva
bangor	adjektiva
jamak	adjektiva
lumrah	adjektiva
teu aneh	adjektiva
kayas	adjektiva
janggal	adjektiva
jangkung	adjektiva
jarang	adjektiva
carang	adjektiva
jarang-jarang	adjektiva
carang-carang	adjektiva
jauh	adjektiva
tebih	adjektiva
jaya	adjektiva
unggul	adjektiva
jeblog	adjektiva
jeblos	adjektiva
jejel	adjektiva
goreng	adjektiva
awon	adjektiva
lucu	adjektiva
jendol	adjektiva
kapok	adjektiva
geuleuh	adjektiva
jiji	adjektiva
lindeuk	adjektiva
jingga	adjektiva
jetu	adjektiva
cespleng	adjektiva
jompo	adjektiva
jujur	adjektiva
teleng	adjektiva
deleng	adjektiva
kabur	adjektiva
kacow	adjektiva
reuwas	adjektiva
kagok	adjektiva
jeger	adjektiva
heuras	adjektiva
kalap	adjektiva
ngamuk	adjektiva
kalem	adjektiva
kusut	adjektiva
budakeun	adjektiva
kandel	adjektiva
sono	adjektiva
sipat	adjektiva
kasar	adjektiva
weduk	adjektiva
kebluk	adjektiva
leutik	adjektiva
kebut	adjektiva
kuciwa	adjektiva
hanjakal	adjektiva
alit	adjektiva
haseum	adjektiva
kadaluwarsa	adjektiva
sieun	adjektiva
kalogoran	adjektiva
telenges	adjektiva
abadi	adjektiva
keker	adjektiva
kesel	adjektiva
kaliru	adjektiva
lepat	adjektiva
kaku	adjektiva
kembar	adjektiva
pageug	adjektiva
tarik	adjektiva
kendor	adjektiva
kentel	adjektiva
ngenyod	adjektiva
kapalang	adjektiva
sering	adjektiva
teuas	adjektiva
boncel	adjektiva
kate	adjektiva
parlente	adjektiva
koropok	adjektiva
kiruh	adjektiva
jengkel	adjektiva
seuseut	adjektiva
keusrak	adjektiva
kawalahan	adjektiva
has	adjektiva
husus	adjektiva
paur	adjektiva
risi	adjektiva
istimewa	adjektiva
kede	adjektiva
uncal	adjektiva
kumed	adjektiva
klasik	adjektiva
kolot	adjektiva
kongkret	adjektiva
nyata	adjektiva
kontan	adjektiva
kribo	adjektiva
kawasa	adjektiva
pengkuh	adjektiva
teguh	adjektiva
seupan	adjektiva
kumel	adjektiva
kumuh	adjektiva
kuno	adjektiva
begang	adjektiva
kurung	adjektiva
kucel	adjektiva
surem	adjektiva
labil	adjektiva
segut	adjektiva
cepet	adjektiva
taledor	adjektiva
lila	adjektiva
heubeul	adjektiva
lami	adjektiva
lengle	adjektiva
lancang	adjektiva
lancar	adjektiva
lencop	adjektiva
neros	adjektiva
teu jujur	adjektiva
langka	adjektiva
arang	adjektiva
langsing	adjektiva
lenjang	adjektiva
jangjing	adjektiva
lega	adjektiva
bobo	adjektiva
sangsara	adjektiva
malarat	adjektiva
laris	adjektiva
payu	adjektiva
pajeng	adjektiva
gehgeran	adjektiva
pantes	adjektiva
layu	adjektiva
ilahar	adjektiva
leubeut	adjektiva
leuwih	adjektiva
langkung	adjektiva
ajur	adjektiva
leyur	adjektiva
lecet	adjektiva
legal	adjektiva
sah	adjektiva
nempel	adjektiva
cape	adjektiva
lungse	adjektiva
laluasa	adjektiva
leuleus	adjektiva
lembut	adjektiva
lempeng	adjektiva
lengket	adjektiva
rapet	adjektiva
leungit	adjektiva
musna	adjektiva
tetep	adjektiva
angger	adjektiva
lesu	adjektiva
raos	adjektiva
licin	adjektiva
lihay	adjektiva
jalingeur	adjektiva
sarakah	adjektiva
toma	adjektiva
asup akal	adjektiva
logor	adjektiva
lonjong	adjektiva
lowong	adjektiva
ludes	adjektiva
beak	adjektiva
basajan	adjektiva
luhur	adjektiva
lumayan	adjektiva
lumpuh	adjektiva
lajim	adjektiva
luntur	adjektiva
leuseuh	adjektiva
mabok	adjektiva
kepengpeongan	adjektiva
macet	adjektiva
magol	adjektiva
sihir	adjektiva
gaib	adjektiva
mahakawasa	adjektiva
mahal	adjektiva
awis	adjektiva
kamahalan	adjektiva
mahasuci	adjektiva
mahauninga	adjektiva
maher	adjektiva
majasi	adjektiva
maju	adjektiva
mamur	adjektiva
makruh	adjektiva
maksimal	adjektiva
cilaka	adjektiva
sial	adjektiva
kedul	adjektiva
era	adjektiva
isin	adjektiva
eraan	adjektiva
isinan	adjektiva
mampuh	adjektiva
samampuh	adjektiva
sakahayang	adjektiva
mancung	adjektiva
mandiri	adjektiva
hapa	adjektiva
bajir	adjektiva
mangkir	adjektiva
amis	adjektiva
saamis	adjektiva
ogo	adjektiva
mujarab	adjektiva
manteb	adjektiva
mantep	adjektiva
manusiawi	adjektiva
manyun	adjektiva
mukti	adjektiva
bendu	adjektiva
olah	adjektiva
masak	adjektiva
asak	adjektiva
pirang-pirang	adjektiva
ngahaseuman	adjektiva
kasohor	adjektiva
kamashur	adjektiva
megah	adjektiva
weweg	adjektiva
mewah	adjektiva
miskin	adjektiva
laas	adjektiva
melengkung	adjektiva
ngalingkung	adjektiva
malang	adjektiva
eumeur	adjektiva
manjur	adjektiva
nyerong	adjektiva
lanca-linci	adjektiva
mencret	adjektiva
ngayer	adjektiva
ceudeum	adjektiva
mengkel	adjektiva
meotan	adjektiva
atah	adjektiva
mental	adjektiva
tunggara	adjektiva
katalangsara	adjektiva
merdika	adjektiva
halimpu	adjektiva
muriang	adjektiva
muringkak	adjektiva
geugeut	adjektiva
panggeugeutna	adjektiva
mesum	adjektiva
minder	adjektiva
mingguan	adjektiva
leutik pisan	adjektiva
minimal	adjektiva
miring	adjektiva
dengdek	adjektiva
mirip	adjektiva
siga	adjektiva
kawas	adjektiva
inggis	adjektiva
moderat	adjektiva
moderen	adjektiva
pangmoderenna	adjektiva
pangmajuna	adjektiva
modis	adjektiva
demplon	adjektiva
bahenol	adjektiva
neuhneur	adjektiva
awut-awutan	adjektiva
beukah	adjektiva
ngabeukahan	adjektiva
ijid	adjektiva
sebel	adjektiva
murel	adjektiva
mubadir	adjektiva
pangorana	adjektiva
babarian	adjektiva
ampuh	adjektiva
paten	adjektiva
untung	adjektiva
mujur	adjektiva
samujur	adjektiva
sauntung	adjektiva
kakoncara	adjektiva
mules	adjektiva
mulya	adjektiva
pangmulyana	adjektiva
muluk	adjektiva
angen-angen	adjektiva
meral	adjektiva
mulus	adjektiva
meungpeung	adjektiva
munapek	adjektiva
campernik	adjektiva
mungkar	adjektiva
murah	adjektiva
mirah	adjektiva
berehan	adjektiva
murahan	adjektiva
baketut	adjektiva
murni	adjektiva
asli	adjektiva
tulen	adjektiva
nguyung	adjektiva
ngangluh	adjektiva
mustahil	adjektiva
mustajab	adjektiva
mutlak	adjektiva
naas	adjektiva
najis	adjektiva
nanar	adjektiva
nasional	adjektiva
negatip	adjektiva
nekad	adjektiva
netral	adjektiva
ngeri	adjektiva
linu	adjektiva
nihil	adjektiva
nista	adjektiva
pangnistana	adjektiva
panghinana	adjektiva
nominal	adjektiva
teu aktip	adjektiva
non aktip	adjektiva
normal	adjektiva
jero hate	adjektiva
hate leutik	adjektiva
manah	adjektiva
bukti	adjektiva
tibra	adjektiva
nyeri	adjektiva
nyiru	adjektiva
embung	adjektiva
alim	adjektiva
ompong	adjektiva
otomatis	adjektiva
pareum	adjektiva
padet	adjektiva
kompak	adjektiva
