kata,sinonim
medan,"tempat pasamian,lapang,tegal,tegalan"
megah,"weweg,mewah"
mekar,"beukah,ngabeukahan,bekeh"
beunta,teu sare
teu keuna,"nyalahan,meleset"
ngawengku,nyangkup
nyukupan,nyubadanan
menak,"priyayi,ningrat"
manara,munara
mencret,ngayer
ngahulengkeun,mikirkeun
ngamistikeun,ngudukuen
mistina,kuduna
ngapimilik,miboga
minggu,minggon
menta,nyungkeun
minoritas,pangsaeutikna
barang penta,menta menta
minyak,lisah
miring,dengdek
sariga,maririp
misal,conto
misalna,contona
moderat,sinegar tengah
moderen,maju
bulak-balik,"udar-ider,gudag-gidig"
moral,"tata krama,etika"
sebel,murel
muadin,tukang adzan
ampuh,"paten,mujarab,matih"
muncul,"pecenghul,munjul"
murah,mirah
bageur,barehan
ngambekan,ngabenduan
muslihat,"akal-akalan,reka,perdaya"
musawarah,"badami,badanten"
urat,nadi
napkah,napakah
naas,"apes,sial"
kasohor,"kawentar,populer"
ngantosan,nungguan
napas,ambekan
boga nasib,nasibna
nikahan,ngawin
nikahkeun,ngawinkeun
ngeyong,mepende
nista,hina
nganistakeun,ngahinakeun
pangnistana,panghinana
kanistaan,kahinaan
boga nomer,"make nomer,nomeran"
teu aktip,nonaktip
norma,"aturan,tatanan,sistim"
jero hate,hate leutik
nembang,ngawih
juru tembang,juru kawih
ngobatan,"ngubaran,ngalandongan"
oper,ngoper
otak,uteuk
otot,sungsum
nyereng,ngotot
paceklik,paila
pacet,lentah
di,dina
kompak,adu manis
kaisukan,kaenjingan
ganjaran,pahala
aya ganjaranana,aya pahalana
ngepak,mungkus
make,"ngangge,nganggo"
kapake,"kaangge,kaanggo"
pakuan,aya pakuna
patempo-tempo,patingali-tingali
ngageroankeun,nyaurankeun
panyaur,panggero
talinga,nalingakeun
parkir,markir
pasang,"papasangan,masang"
nangtukeun,"nangtoskeun,netepkeun"
panangtuan,"panangtosan,panetepan"
katangtuan,"katangtosan,katetepan"
potong,"peunggas,keureut,penggel,sisit"
motongkeun,"meunggaskeun,ngeureutkeun"
patok,"pancuh,pancang"
matok,mancuh
matokkeun,mancuhkeun
patri,solder
matri,nyolder
patriot,"pajuang,pahlawan"
patriotik,jiwa kapahlawanan
patroli,ronda
satia,"tuhu,nurut,taat"
pamatuk,pamacok
matuk,macok
matukan,macokan
udunan,mawuran
pantes,layak
kacapean,"kasusahan,kahesean"
rada asin,hanta
pinareup,susu
payung,pajeng
make payung,nganggo pajeng
mayungan,"majengan,nangtayunan"
kabagi,kabeulah
mencet,meuseul
lotek,pecel
merharikeun,paduli
nyekel,nyepengan
cekelan,cepengan
nyegat,ngahadang
mutuskeun,megatkeun
padet,pejel
madetkeun,mejelkeun
ngaliketkeun,ngentelkeun
kaliketan,kakentelan
parangi,"tabeat,ahlak,budi pakarti,sipat"
ngajerit,ngoceak
sadel kuda,sela
mencek,peucang
tiseureuleu,tisoledat
eupan,parab
ingu,piara
kapiara,kaurus
morosot,morosotkeun
polotot,molotot
kesangan,karingetan
tangkeup,rangkul
nangkeup,ngarangkul
nangkeupan,ngarangkulan
katangkeup,katangkul
tangkeupan,rangkulan
talupuh,palupuh
pamali,pantrangan
pendem,mendem
kapendem,"kakubur,katutupan"
mondokkan,mendekkan
mondokeun,mendekeun
motong,"ngeureut,menggel,meuncit,nyisit"
kapotong,"kapenggel,kakeureut,kasisit"
pengki,pungki
pengkor,"pincang,pinced,cingkud"
bui,panjara
pojok,juru
kapeclengkeun,kapangpengkeun
pagelaran,helaran
merlukeun,"mentingkeun,meryogikeun"
minuhan,"nyumponan,nedunan"
meped,nyisi
paraji,indung beurang
tukang meuyeum,nu meuyeum
pakakas,"alat,parabot"
kacepretan,kaceretan
ngaleupasken,nyoplokkeun
perhatian,perhatosan
nu merhatikeun,nu merhatoskeun
bangsa lelembut,jin
paribasa,paripaos
pariksa,parios
mariksa,"marios,nalungtik"
mariksakeun,marioskeun
pamariksa,pamarios
pamariksaan,"pamariosan,rasia"
perih,pedih
kaperluan,kaperyogian
saperluna,saperyogina
alketip,karpet
persisi,pas
pribadi,person
personalia,kapagawean
gancang pisan,tarik pisan
pasisir,basisir
mapatahan,nasehatan
nu miara,pamiara
pije,"ngurut,meuseul"
pikiran,emutan
ngabagi,misahkeun
pipilih,palah-pilih
bogoh,kapincut
injeum,nginjeum
pintas,mintas
sakilas,sapintas
rematik,encok
piting,miting
teko,poci
pulisi,kulisi
pondok,kobong
pamondokkan,pameutingan
mopulerkeun,ngenalkeun
amburadul,awut-awutan
potongan,"keureutan,sisitan"
dipotret,dipoto
rayat,"nagara katut,rahayat,sipil"
pribumi,padumuk asli
naek pangkat,promosi
puas,sugema
muaskeun,nyugemakeun
puasa,saum
publikasi,pengumuman
mucetkeun,miaskeun
ruruntuk,ruruntuhan
pateunggeul-teunggeul,pagebug-gebug
neunggeulan,ngagebugan
neunggeulkeun,ngagebugkeun
kateunggeul,kagebug
nu neunggeul,"paneunggeul,panggebug"
pukul,tabuh
cabak,rampa
ngarampaan,nyabakan
lamur,rawun
nyaragamkeun,nyaruakeun
bingbang,"asa-asa,mandeg-mayong,cangcaya"
ngabingbangkeun,ngarasa mandeg
rahayu,"tingtrim,tentrem"
rampas,"rebut,jabel"
rakit,getek
ngarahayat,ngarayat
ramal,nujum
ramat,ngaramat
rambutan,buukan
rames,ramed
ngelengkehkeun,ngalangsingkeun
ngarampog,ngabegal
rengse,beres
raraga,rarencang
ngarata,jadi rata
rayu,wujuk
genjring,terebang
manteng,teu kendor
ngarapet,nempel
ngarapetkeun,nempelkeun
merebes,ngarembes
rancana,rarancang
nurunkeun,ngahandapkeun
renghat,"beulah,bencah,cacad"
ngarengkuh,ngarawu
beber,"narik,masang tali"
meberkeun,mantengkeun
meuntas,naratas
ngaruntuy,ngantay
mikir,ngahuleng
rangu,uduh
restu,idin
ngarestuan,ngidinan
rijki,rejeki
ajrih,rada era
hampang,enteng
ngahampangkeun,ngentengkeun
muringis,nyengir
ngaringkuk,ngarengkol
ngariwayatkeun,ngagalurkeun
gilinding,kikiping
ngaroko,ngudud
paroman,pasemon
rohang,rohangan
ngagimbung,ngariung
rukun,"dalit,akur"
mangrupa,mirip
ruksak,resak
kukulutus,gegelendeng
saban,unggal
saban-saban,unggal-unggal
sabana,tegal jukut
beubeur,beulitan
adu,aben
sipuhan,"salinan,tarjamahan"
panyipuh,nu narjamahkeun
ngajawab,"nembal,ngawalon,nempas"
jawaban,tembalan
saka,tihang
budug,rodek
suci,karamat
sakaratul maot,sakarat
saku,pesak
solat,netepan
salin,ganti baju
teplak,tiron
saling,silih
nyiap,nyusul
silih siap,pasiap-siap
sami-sami,"babarengan,rampak,sasarengan"
nyamar,nyaru
nyamarkeun,nyarukeun
ngaronda,ngaroris
nepikeun,ngadugikeun
nu nepikeun,nu ngadugikeun
katepi,kadugi
sanepina,sadugina
sampan,parahu leutik
samping,sinjang
samudra,"sagara,laut"
sapatemon,jima
nyimpang,sindang
gelung,sanggul
sangkal,bantah
ngait,"nyangkol,nyangsang,nyantel"
silih kait,silih cangkol
ngaitkeun,nyangkolkeun
ngadahar,nuang
kadaharan,katuangan
adab,"sopan,susila"
mikarunya,mikanyaah
tanya,taros
patanya,pataros
silih tanya,silih taros
nanya,naros
ditanya,ditaros
sarung,"sarangka,bungkus"
hijian,pasukan
sayur,angeun
sebar,awur
nyebar,"nyebarkeun,ngawurkeun,ngawur,nawurkeun"
nyebut,nyebat
kasebut,kasebat
sedeng,meujeuhna
saeutikna,sakedikna
segi,"sisi,gigir"
seka,usap
nyeka,ngusap
nyekaan,ngusapan
pohara,kacida pisan
sakaligus,bari
sakongkol,sailon
ujug-ujug,ngadadak
ngabalad,ngahiji
sela-sela,sesela
salian,sajaba ti
kulit tipis,lamad
nganggeuskeun,"ngabereskeun,ngarengsekeun"
simbut,kampuh
selap,nyelap
pasulabreng,pasuliwer
solobong,borongsong
nangunjar,nyanghunjar
kurudung,"tiung,kukudung"
sangkut-paut,patula-patali
nyelendep,"nyulundup,nyulusup"
binih,bibit
semanggi,surawung
bari,sarta
mejen,"kabebeng,hese ngising"
ngadalingding,"meleber,melenghir"
heureut,"heurin,engap"
teu lancar,eureun-eureunan
sendok sayur,sinduk
sedih,nalangsa
ngahaja,dihaja
lowong,salse
sintreuk,ngeritik
raharga,ma'mur
imut,mesem
sepak,tajong
nyepak,najong
sapagodos,sapuk
teu langkung,pasrah
peura,peuyeuh
tepas,emper
rupa-rupa,warna-warni
sorbet,lap
soldadu,tantara
panyered,nu nyered
ngagero,ngajak
kasasar,kasarung
istal,gedongan
setel,nyetel
satru,musuh
istrika,licinan
ngistrika,ngalicin
aliran listrik,setrum
sia-sia,"percumah,mubadir"
apes,"sue,naas"
beurang-beurang,siang-siang
kabeurangan,kasiangan
siasat,taktik
riweuh,"paciweuh,loba gawe"
tanginas,parigel
nyigeung,nyiku
sikep,"tagog,tangtunan"
kaliwat,geus liwat
silang,cakra
silsilah,salsilah
simpen,teundeun
nyimpen,neundeun
buburilakan,gugurilapan
pangeureunan,panyindangan
sigeung,toel
nyingkabkeun,mukakeun
kasingkab,kabuka
singget,ringkes
singlet,kaos
miring,sedeng
sipit,petet
keong,"tenggek,tutut"
nyirama,nyeboran
nyiramkeun,nyeborkeun
nu nyiram,tukang nyebor
siraman,ceboran
sirkeus,lais
nyesepkeun,nyelipkeun
kasisipkeun,kaselipkeun
sisir,pameres
siwalan,lontar
skuter,motor
soda,soldah
pangrojong,pangdeudeul
ngadangdanan,ngaluisan
dadakan,sepontan
stadion,setadion
suhu,guru
suka teu suka,daek teu daek
mikaseneng,mikaresep
sasuka,saseneng
saresepna,sasenengna
ngahesekeun,nyusahkeun
sumberna,asalna
sumpah,ucapan
kainggisan,karempan
kasurat,kaserat
langgar,tajug
kasurupan,kasandingan
surya,panonpoe
sus,seus
susun,entep
nyusun,"ngentep,ngentepan"
kasusun,kaentep
susunan,entepan
panyusun,pangentep
nyusur,"mapay,nyisig"
nyusur-nyusur,mapay-mapay
susur,sisig
ngurangan,"ngariut,saat,ngabegangan,ngarerep"
sutradara,pangatur laku
tabir,hahalang
tabrak-tubruk,tatabrak
tabungan,teundeunan
sebaran,"nawuran,tawuran"
nyebaran,nawuran
kasebar,katawur
tadah cangkir,"tatakan,tadah gelas"
tadah mangkok,pisin
nadarus,ngaderes
nu nagih,tukang nagih
tahap,bagian
elmu pangaweruh,boga kanyaho
tajen,"citajen,darih"
takdir,"papasten,titis-tulis"
katempona,katingalna
nempokeun,ningalikeun
pinton,tembong
mintonkeun,"nembongkeun,nongtonkeun"
tanda,"alamat,ciri,ciciren"
tang,gegep
tangga,undakan
kalender,almenak
tanggapan,waleran
nangguhkeun,nundakeun
katangguhkeun,katundakeun
careurik,pada narangis
nyeungceurikkan,nangisan
rancinges,"parigel,riket,tanginas"
tatanya,tataros
nanyakeun,naroskeun
pertanyaan,panarosan
imbangan,nu sarua
nari,ngigel
tarian,igelan
nu nari,nu ngigel
tarip,harga
tas tonggong,ransel
seuri,gumujeng
seuri gede,barakatak
seuri leutik,"imut,mesem"
nawar,nawis
kateleg,keteureuy
katajong,kasepak
eunteup,"encle,nyengcle"
lieuk,longok
nentang,ngalawan
nengtremkeun,ningtrimkeun
katengtreman,katingtriman
nenung,nyihir
tenungan,sihiran
nu nenung,nu nyihir
tepat,pas
nepak data,nepak harigu
terbit,medal
terbitan,pedalan
gorowok,gerewek
panarima,panampi
panarimaan,panampian
neguh,nerka
teguhan,terkaan
paneguh,panerka
toropong,keker
noropong,ngeker
saterusna,saterasna
depa,ngadapang
sadatangna,"sadongkapna,satepina,sadugina"
nguleman,nyarean
ngulemkeun,nyarekeun
tumpuk,timbun
panggede,pajabat
boksen,tinju
hordeng,kasang
kawalon,tere
tiruan,tironan
titip,mihape
nitipkeun,mihapekeun
iteuk,teteken
tonjol,togag
tongton,lalajo
tongtonan,lalajoan
panongton,nu nongton
top,puncak
panyalinan,alihbasa
transparan,"ngalangkan,tembus cahaya"
trayek,jurusan
tribun,panggung
tubruk,teunggar
nubruk,neunggar
tugas,mancen
nugasan,mancenan
nugaskeun,mapancenan
nulis,nyerat
nulisan,nyeratan
nuliskeun,nyeratkeun
nu nulis,nu nyerat
tulisan,seratan
rungkad,roboh
tuwuhan,tangkal
tutuwuhan,"pepelakan,tatangkalan"
bahe,tamplok
numpes,ngabasmi
nu numpes,nu ngabasmi
pucuk,senggeh
tungkul,ngeluk
nyangga,nyokong
panyangga,panyokong
sanggaan,sokongan
nuntut,ngagugat
turun,lungsur
nu ngagugu,nu nurut
tojos,"tubles,cocog"
ngucapkeun,ngomongkeun
heuay,angob
udag,berik
ubin,tehel
hurang,udang
ngulang,malikan deui
milangkala,tepang taun
mutu,uleg
undi,lotre
ngundi,ngalotre
undian,lotrean
unguul,pinunjul
ronce,untuy
karonce,kauntuy
pere,"liburan,pakanci"
vaksinasi,vaksin
pas kembang,pot
liang hawa,cacarang
kecap pagawean,verba
jalan,liwat
pitamin,vitamin
wadah,tempat
wadal,kurban
banci,wandu
katel,kawali
wajar,saujratna
wakil,sulur
warna,warni
waslap,elap
waspada,"waspados,ati-ati"
wibawa,komara
wol,ewol
jarah,jiarah
