kata,sinonim
gelo,"edeg,teu eucreug"
cabok,"gampleng,tampiling"
cadu,pantrang
calakan,"getol,hideng,ulet,pinter,maher,lihay,tekun"
cangcang,cangked
carang,carengcang
carios,"carita,hikayat,dongeng"
cawet,kolor
cekap,euleum
coplok,"lesot,leupas"
cunihin,purunyus
damar,"lilin,palita,cempor"
dangdan,"ngaluis,dangdos,luis"
danget,"heuleut,mangsa"
darehdeh,someah
duka,teu terang
eleketek,keleketek
gancang,"geuwat,cepet"
entog,meri
etang,wilang
gabrug,kerekeb
gajih,lemak
acuk,baju
adeuk,"bakal,matak,hayang,hoyong"
adi,"rai,pun adi"
ageung,"agung,mulya"
amang,"emang,mamang"
ambu,"ibu,pun biang"
ameng,ulin
anggo,pake
anom,ngora
anu,nu
astra,"riman,parangi"
atikan,wurukan
awewe,"isteri,mojang"
ayeuna,kiwari
baham,sungut
baheula,"bareto,kapungkur,lami,lawas"
bantun,"candak,ringkid"
baraya,"kulawarga,kulawargi"
beja,"bewara,tanggara,pangumuman,wawaran,berita"
beuli,"galeuh,peser"
beol,"ee,miceun"
beurang,siang
bieu,nembe
bitis,wetis
bulan,sasih
buruan,pakarangan
burung,gila
calana,lancingan
cukang,"rawayan,sasak"
daek,"hayang,hoyong,palay"
damis,pipi
dangu,"denge,kuping"
datang,"dongkap,dugi,hadir,aya,namu,dongkap,tepi,dugi,nepi,nyemah"
deudeuh,asih
dinten,poe
era,"isin,uman-imen"
eujeung,"sinareng,jeung,rejeung"
ganti,"genti,gentos,pindah,robah,hijrah,ngalih"
garing,"halodo,teu subur,rampog,katiga"
garo,"garuk,ngagaro,gagaro"
garong,"maling,paok,paling"
gawir,jungkrang
geheng,tutung
gembul,"rewog,segut"
gering,"udur,teu damang"
gero,"ngageroan,nyalukan,nyambat"
geter,endeur
getok,teke
geugeut,"nyaah,welas,deudeuh"
geuleuh,"ijid,jiji"
gigir,gigireun
goyang,"giteuk,ngagiteuk,geol,ngageol"
godog,kulub
gogog,anjing
gugah,lilir
haus,"hanaang,halabhab"
hampas,seupah
hareup,payun
harewos,haharewosan
harti,hartos
henteu,moal
hilap,lali
hilik,kade
hoream,males
huis,"salatu,silalatu"
hujan,"ujan,ngijih"
huntu,waos
ibak,"mandi,siram,cebor"
ibing,"igel,ngagitek,tari"
leungit,musna
jangar,"lieur,rudet,puyeng,rieut"
jangji,"pasini,ikrar"
jangkung,"jangkorang,luhur,luhureun"
janten,"juntrung,lumangsung,jadi"
jauh,tebih
jumpalit,juralit
jurig,"ririwa,siluman,dedemit,makhluk halus,siluman"
kadek,"sabet,bacok"
kaen,"lawon,layon"
kalangkang,sawangan
kalih,oge
kangkalung,kongkorong
katuhu,tengen
kawih,"langgam,tembang,lagu,hariring"
kentel,"lekoh,liket,keupeul"
kirang,kurang
kolot,"sepuh,jompo"
koret,"medit,kumed"
kumbah,wasuh
kumis,rumbah
kunyuk,"monyet,wanara"
lahan,"taneuh,tegalan,tegal"
lain,"sanes,sejen,sejena"
lalaki,pameget
lamot,letak
langkung,"leuwih,alabatan"
lodaya,"maung,meong"
lomari,almari
ludeung,"teuneung,wani"
maehan,"mateni,ngarogahala"
maenya,piraku
mimiti,"asal,kahiji,pangheulana"
murag,"ragrag,labuh,batal,geubis"
naek,"nerekel,numpak"
nangkring,mejeng
nangtung,"ngadeg,tatih"
neang,"pilari,teang"
nene,nini
ngadegdeg,"ngahodhod,ngageter"
ngalamun,"ngimpleng,ngahayal"
ngemut,nginget
nincak,tincak
nyaho,"terang,uninga"
nyaram,"nyarek,ngahulag,nyegah,ngalarang,ngahalang,ngalarang"
panyawat,"panyakit,kasawat"
parawan,"wanoja,cawene,mojang"
parin,seren
pasanggiri,"winojakrama,perlombaan,saembara"
raheut,tatu
rahul,"wadul,bohong,gombal"
rambut,buuk
ramo,reuma
rampus,"hawek,sarakah,toma,tama,egois"
regot,nyuruput
rupa,"rupa-rupa,rupi,rupina,rupi-rupi,aneka ragam,sababaraha,aneka,macem-macem,jenis"
sampurasun,punten
sapalih,sawareh
saprak,tisaprak
sebut,"nyebutkeun,nyebatkeun"
simpang,"sindang,nyimpang"
simpe,"jempling,tiiseun,combrek,sepi"
soak,"reuwas,kaget"
soweh,sowek
susukan,"wahangan,walungan,solokan"
taktak,taraju
taun,warsi
tijalikeuh,"tisoledat,tiseureuleu"
umur,yuswa
aba-aba,parentah
antep,ingkeun
ngantep,ngingkeun
abdi,"budak beulian,abid,hamba sahaya,suwita"
ngabdi,"ngawula,ngabakti"
ngabaktikeun,ngabdikeun
pangawula,nu ngawula
ngabjadkeun,merelekeun aksara
kulawu,hawuk
hambur,"boros,olok"
pangacak,alat pikeun ngacak
acak-acakan,"pabalatak,balatak"
nyieun acara,ngayakeun acara
palire,pirosea
malire,"mirosea,merhatikeun,madulikeun,ngindahkeun"
adegan,babak
agul,"sombong,adigung,angkuh,takabur"
nindak perkara,mutus perkara
adopsi,mulung
ngadopsi,mulung anak
nu ngadopsi,nu mulung
adres,alamat
aduh,duh
ngaduk,"ngagalokeun,ngadukkeun"
sigana,"kawasna,teu disangka-sangka,kawasna,rupina,jigana"
nganut agama,ngagem agama
ngagulkeun,nyombongkeun
leho,umbel
cimata,"cisoca,cipanon"
ajakan,pangajak
dalit,conggah
giat,aktip
ngaktipkeun,"ngagiatkeun,ngagalakkeun"
nu ngaaktipkeun,nu ngagiatkeun
kaaktipan,kagiatan
satuju,"cocog,harmonis,pas"
alem,"sanjung,muji,ngalem"
ngalir,ngocor
ngaliran,ngocoran
ngalirkeun,ngocorkeun
Alloh,Pangeran
almarhum,"suargi,jenat"
aman,"tengtrem,repeh,rapih"
amanah,titipan
amanat,talatah
paniten,nu nitenan
nyokot,nyandak
nyokotan,nyandakan
nyokotkeun,nyandakkeun
nu nyokot,nu nyandak
kacokot,kacandak
rugrug,ambrug
ngarugrugkeun,ngambrugkeun
karugrugan,kaambrugan
lebe,"amil,panghulu"
asmara,"cinta,bogoh"
nu ngampunan,nu ngahampura
amunisi,eusi bedil
ngajuru,"babar,medal,ngalahirkeun"
oorokan,boneka
anak tere,putra kawalon
andel,bisa dipercaya
andil,bagian
delman,"dokar,sado"
angen-angen,lamunan
nganggap,ngareken
angin,bayu
angkara,"murka,angkara murka"
angsuran,cicilan
angker,serem
ngangsur,cicil
ngangsurkeun,nyicilkeun
kaaniaya,katandasa
nyarankeun,ngusulkeun
saran,usul
anonim,teu make ngaran
anteur,jajap
panganteur,nu nganteur
antik,kuna
arahna,aya arahna
tuak,arak
arakan,iring-iringan
halangan,pamengan
leupeut,lontong
bali,ari-ari
rombongan kapal,armada
hartina,ngandung harti
asem,haseum
asisten,pangbantu
asli,"tulen,murni,jati"
istirahat,"reureuh,leleson"
asri,endah
kaasrian,kaendahan
asuh,didik
sangkaan,"dugaan,prasangka"
atlet,tukang olahraga
awam,umum
jiwa,roh
ayan,"sakalor,sawan"
siksaan,hukuman
nyiksa,ngahukum
ajali,papasten
babad,"sasakala,sajarah"
babi,bagong
ngabacok,ngadek
donto,"denok,bahenol,demplon,geulis"
bakti,baktos
bandel,bedegong
bandit,"rampog,begal"
ngahudangkeun,ngabangunkeun
ngabarengan,nyarengan
goler,"ngedeng,ngagoler,patinggoletak,ngagoletak"
baris,jajar
basmi,"barantas,tumpes"
batal,"teu jadi,ragrag"
batuk,gohgoy
simeut,congcorang
kakeueum,surup
bengong,olohok
benjol,buncunur
sentak,nyentak
isuk,isukan
arip,wijaksana
bingbing,aping
ngobrol,"ngawangkong,paguneman"
gandeng,"baribin,ribut,rame"
ngabodokeun,ngabeletkeun
ngabohong,ngawadul
galak,linghas
jadi galak,jadi linghas
buka,"muka,singkab"
bukti,buktos
bungbu,sambara
soraan,disada
